event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
2724	TTEMDOUBLES-----------QFNL000200----------	D	M	QFNL	000200	856	2023-08-25 15:45:00	117345	121412	124572	121588	3	0	11-7,11-4,11-2
2724	TTEMSINGLES-----------8FNL000600----------	S	M	8FNL	000600	1920	2023-08-25 18:05:00	121412		104379		3	1	11-6,11-9,8-11,11-5
2724	TTEMDOUBLES-----------8FNL000500----------	D	M	8FNL	000500	1610	2023-08-24 10:55:00	123976	137726	119877	132824	1	3	8-11,11-8,6-11,9-11
2724	TTEWSINGLES-----------8FNL000100----------	S	W	8FNL	000100	1337	2023-08-25 16:20:00	131335		119730		0	3	8-11,4-11,4-11
2724	TTEWDOUBLES-----------8FNL000100----------	D	W	8FNL	000100	1754	2023-08-24 16:20:00	100868	105913	123535	114517	1	3	8-11,8-11,11-8,8-11
2724	TTEMSINGLES-----------8FNL000700----------	S	M	8FNL	000700	1662	2023-08-25 18:10:00	106814		131671		3	0	11-9,11-8,11-9
2724	TTEXDOUBLES-----------8FNL000400----------	D	X	8FNL	000400	2337	2023-08-24 08:00:00	120074	106706	131671	121041	3	2	11-7,11-7,9-11,6-11,14-12
2724	TTEWDOUBLES-----------8FNL000500----------	D	W	8FNL	000500	1604	2023-08-24 16:55:00	112453	105779	134568	134338	3	1	11-8,11-7,7-11,11-7
2724	TTEWDOUBLES-----------8FNL000800----------	D	W	8FNL	000800	1260	2023-08-24 16:55:00	120187	121074	117463	122428	0	3	4-11,8-11,10-12
2724	TTEMDOUBLES-----------8FNL000100----------	D	M	8FNL	000100	1814	2023-08-24 10:20:00	134239	135674	123300	122095	3	2	4-11,11-8,11-6,4-11,11-1
2724	TTEWSINGLES-----------8FNL000600----------	S	W	8FNL	000600	1700	2023-08-25 16:55:00	131342		115454		3	0	11-4,11-8,12-10
2724	TTEXDOUBLES-----------8FNL000200----------	D	X	8FNL	000200	1674	2023-08-24 08:00:00	131150	123228	121412	135923	1	3	5-11,11-9,4-11,7-11
2724	TTEXDOUBLES-----------8FNL000700----------	D	X	8FNL	000700	1188	2023-08-24 08:35:00	123192	120187	135394	117463	0	3	6-11,6-11,4-11
2724	TTEXDOUBLES-----------8FNL000800----------	D	X	8FNL	000800	1547	2023-08-24 08:35:00	116798	114517	133455	118777	3	1	11-9,11-6,8-11,11-6
2724	TTEMSINGLES-----------8FNL000200----------	S	M	8FNL	000200	2306	2023-08-25 17:30:00	114848		133652		3	2	11-7,8-11,9-11,11-7,11-7
2724	TTEWSINGLES-----------8FNL000800----------	S	W	8FNL	000800	1166	2023-08-25 16:20:00	121040		106706		0	3	8-11,6-11,4-11
2724	TTEWDOUBLES-----------8FNL000200----------	D	W	8FNL	000200	1608	2023-08-24 16:20:00	113300	103752	132132	135923	0	3	8-11,9-11,9-11
2724	TTEXDOUBLES-----------8FNL000100----------	D	X	8FNL	000100	1028	2023-08-24 08:00:00	107445	100868	121869	121714	3	0	11-7,11-7,11-6
2724	TTEXDOUBLES-----------8FNL000300----------	D	X	8FNL	000300	1098	2023-08-24 08:00:00	113395	131342	134340	134568	3	0	11-6,11-8,11-6
2724	TTEMDOUBLES-----------8FNL000200----------	D	M	8FNL	000200	1516	2023-08-24 10:20:00	134380	135050	113243	120267	3	1	11-3,11-7,15-17,11-7
2724	TTEMSINGLES-----------8FNL000100----------	S	M	8FNL	000100	2335	2023-08-25 18:05:00	122002		104036		3	1	11-6,11-9,4-11,13-11
2724	TTEWDOUBLES-----------8FNL000700----------	D	W	8FNL	000700	1231	2023-08-24 16:55:00	111416	131480	115454	111066	3	0	11-9,11-8,11-7
2724	TTEMSINGLES-----------8FNL000800----------	S	M	8FNL	000800	2249	2023-08-25 18:05:00	122320		136587		3	2	5-11,5-11,11-9,11-5,11-7
2724	TTEMDOUBLES-----------8FNL000700----------	D	M	8FNL	000700	1017	2023-08-24 10:55:00	113329	136005	132995	123534	3	0	11-4,11-3,11-6
2724	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	000500	1934	2023-08-25 16:55:00	122428		136101		3	1	8-11,11-7,11-6,11-8
2724	TTEMDOUBLES-----------8FNL000600----------	D	M	8FNL	000600	2433	2023-08-24 10:55:00	107445	121869	131912	133713	2	3	5-11,12-10,8-11,12-10,6-11
2724	TTEWDOUBLES-----------8FNL000600----------	D	W	8FNL	000600	2152	2023-08-24 16:55:00	131846	116921	121688	112356	2	3	4-11,11-3,11-8,9-11,7-11
2724	TTEMDOUBLES-----------8FNL000300----------	D	M	8FNL	000300	1496	2023-08-24 10:55:00	117345	121412	121684	114848	3	1	11-6,5-11,11-6,11-2
2724	TTEMDOUBLES-----------8FNL000800----------	D	M	8FNL	000800	2526	2023-08-24 10:55:00	117865	122320	113931	106814	3	2	11-6,12-14,13-11,4-11,11-8
2724	TTEWSINGLES-----------8FNL000400----------	S	W	8FNL	000400	1987	2023-08-25 16:20:00	117373		105779		1	3	11-6,9-11,4-11,8-11
2724	TTEXDOUBLES-----------8FNL000500----------	D	X	8FNL	000500	1955	2023-08-24 08:00:00	133652	116921	117345	119730	1	3	12-10,7-11,6-11,3-11
2724	TTEWSINGLES-----------8FNL000700----------	S	W	8FNL	000700	2153	2023-08-25 16:55:00	132132		135179		3	1	14-12,8-11,11-5,11-7
2724	TTEWDOUBLES-----------8FNL000400----------	D	W	8FNL	000400	2252	2023-08-24 16:20:00	116674	118777	123113	119089	3	2	10-12,11-5,9-11,11-8,11-5
2724	TTEMSINGLES-----------8FNL000500----------	S	M	8FNL	000500	1139	2023-08-25 17:30:00	123534		123976		0	3	5-11,5-11,3-11
2724	TTEWDOUBLES-----------8FNL000300----------	D	W	8FNL	000300	1874	2023-08-24 16:20:00	124162	117373	133814	119746	1	3	12-14,5-11,11-6,9-11
2724	TTEWSINGLES-----------8FNL000200----------	S	W	8FNL	000200	2339	2023-08-25 16:20:00	102949		105913		3	1	6-11,15-13,11-5,11-7
2724	TTEXDOUBLES-----------8FNL000600----------	D	X	8FNL	000600	1226	2023-08-24 08:00:00	124572	124162	131912	123575	3	0	12-10,11-4,11-6
2724	TTEMDOUBLES-----------8FNL000400----------	D	M	8FNL	000400	1521	2023-08-24 10:55:00	134340	120281	124572	121588	1	3	11-7,5-11,9-11,4-11
2724	TTEWSINGLES-----------8FNL000300----------	S	W	8FNL	000300	1388	2023-08-25 16:55:00	122348		135923		0	3	5-11,6-11,10-12
2724	TTEMSINGLES-----------8FNL000400----------	S	M	8FNL	000400	2337	2023-08-25 17:30:00	135919		115396		2	3	11-9,9-11,2-11,11-5,5-11
2724	TTEMSINGLES-----------8FNL000300----------	S	M	8FNL	000300	2663	2023-08-25 17:30:00	115029		134380		3	2	11-8,5-11,11-9,11-13,11-9
2724	TTEWSINGLES-----------R32-001200----------	S	W	R32	001200	1619	2023-08-25 09:10:00	135039		115454		0	3	2-11,6-11,9-11
2724	TTEWSINGLES-----------R32-000800----------	S	W	R32	000800	1439	2023-08-25 08:35:00	105779		121074		3	0	11-7,11-9,11-8
2724	TTEWSINGLES-----------R32-001400----------	S	W	R32	001400	1106	2023-08-25 11:45:00	135179		124165		3	0	11-3,11-3,11-4
2724	TTEMSINGLES-----------R32-000300----------	S	M	R32	000300	1999	2023-08-25 14:35:00	114848		120267		3	1	11-13,11-8,11-9,11-5
2724	TTEMSINGLES-----------R32-000400----------	S	M	R32	000400	2343	2023-08-25 14:35:00	121869		133652		2	3	9-11,11-6,11-4,7-11,5-11
2724	TTEWSINGLES-----------R32-001600----------	S	W	R32	001600	1690	2023-08-25 11:30:00	137850		106706		1	3	7-11,0-11,12-10,9-11
2724	TTEMSINGLES-----------R32-000900----------	S	M	R32	000900	1959	2023-08-25 14:00:00	133713		123534		1	3	11-6,8-11,3-11,12-14
2724	TTEWSINGLES-----------R32-000500----------	S	W	R32	000500	1620	2023-08-25 08:35:00	111066		122348		1	3	11-3,9-11,10-12,8-11
2724	TTEWSINGLES-----------R32-001100----------	S	W	R32	001100	2326	2023-08-25 10:55:00	131342		119746		3	1	11-8,7-11,11-9,13-11
2724	TTEMSINGLES-----------R32-001500----------	S	M	R32	001500	1706	2023-08-25 09:45:00	123300		122320		1	3	8-11,8-11,11-8,5-11
2724	TTEMSINGLES-----------R32-001400----------	S	M	R32	001400	1845	2023-08-25 14:35:00	135924		131671		1	3	8-11,6-11,11-4,6-11
2724	TTEMSINGLES-----------R32-001600----------	S	M	R32	001600	2451	2023-08-25 09:45:00	136587		132824		3	1	6-11,13-11,11-7,11-8
2724	TTEMSINGLES-----------R32-000800----------	S	M	R32	000800	2225	2023-08-25 10:20:00	114718		115396		1	3	11-9,5-11,8-11,9-11
2724	TTEWSINGLES-----------R32-000600----------	S	W	R32	000600	3175	2023-08-25 10:55:00	135923		111072		3	2	17-15,11-8,7-11,14-16,11-6
2724	TTEMSINGLES-----------R32-001300----------	S	M	R32	001300	2124	2023-08-25 14:00:00	121588		106814		1	3	11-9,6-11,8-11,8-11
2724	TTEWSINGLES-----------R32-001000----------	S	W	R32	001000	67	2023-08-25 09:10:00	113711		136101		0	3	7-11,10-12,8-11
2724	TTEMSINGLES-----------R32-000700----------	S	M	R32	000700	2173	2023-08-25 10:20:00	117345		135919		1	3	9-11,11-9,9-11,9-11
2724	TTEWSINGLES-----------R32-001300----------	S	W	R32	001300	1533	2023-08-25 10:55:00	132132		123113		3	0	11-6,11-9,11-5
2724	TTEWSINGLES-----------R32-000400----------	S	W	R32	000400	2416	2023-08-25 09:10:00	131086		105913		1	3	11-9,11-13,9-11,6-11
2724	TTEMSINGLES-----------R32-000600----------	S	M	R32	000600	2320	2023-08-25 10:20:00	134380		119877		3	1	12-10,10-12,11-5,11-9
2724	TTEMSINGLES-----------R32-000500----------	S	M	R32	000500	1430	2023-08-25 10:20:00	115029		134239		3	0	11-7,11-6,11-7
2724	TTEWSINGLES-----------R32-000100----------	S	W	R32	000100	1312	2023-08-25 08:35:00	131335		123535		3	0	11-9,11-5,11-9
2724	TTEWSINGLES-----------R32-001500----------	S	W	R32	001500	2066	2023-08-25 08:35:00	121040		123519		3	1	11-8,13-15,11-8,11-6
2724	TTEWSINGLES-----------R32-000900----------	S	W	R32	000900	1367	2023-08-25 11:30:00	117463		122428		0	3	3-11,9-11,7-11
2724	TTEWSINGLES-----------R32-000300----------	S	W	R32	000300	2534	2023-08-25 10:55:00	124162		102949		2	3	5-11,6-11,11-7,11-8,8-11
2724	TTEWSINGLES-----------R32-000700----------	S	W	R32	000700	0	2023-08-25 09:10:00	133814		117373		0	3	10-12,8-11,10-12
2724	TTEWSINGLES-----------R32-000200----------	S	W	R32	000200	2209	2023-08-25 11:30:00	119730		136808		3	1	11-9,9-11,11-6,11-2
2724	TTEMSINGLES-----------R32-001000----------	S	M	R32	001000	1677	2023-08-25 09:45:00	123976		124572		3	1	11-7,2-11,11-7,13-11
2724	TTEMSINGLES-----------R32-000100----------	S	M	R32	000100	2508	2023-08-25 14:35:00	112062		122002		2	3	11-4,7-11,11-6,8-11,9-11
2724	TTEMSINGLES-----------R32-001100----------	S	M	R32	001100	2387	2023-08-25 14:00:00	110726		121412		2	3	12-10,7-11,11-8,6-11,5-11
2724	TTEMSINGLES-----------R32-001200----------	S	M	R32	001200	2250	2023-08-25 14:00:00	131912		104379		1	3	11-8,6-11,4-11,12-14
2724	TTEMSINGLES-----------R32-000200----------	S	M	R32	000200	2305	2023-08-25 09:45:00	135674		104036		1	3	9-11,11-9,9-11,4-11
2724	TTEWSINGLES-----------R64-001300----------	S	W	R64	001300	1884	2023-08-24 12:05:00	133814		120187		3	0	11-8,13-11,14-12
2724	TTEWSINGLES-----------R64-002000----------	S	W	R64	002000	1858	2023-08-24 09:10:00	112453		136101		1	3	11-9,4-11,8-11,10-12
2724	TTEMSINGLES-----------R64-000800----------	S	M	R64	000800	1089	2023-08-24 17:30:00	133652		107445		3	0	11-4,11-3,11-7
2724	TTEMSINGLES-----------R64-000900----------	S	M	R64	000900	1530	2023-08-24 15:10:00	115029		116798		3	0	13-11,12-10,11-9
2724	TTEWSINGLES-----------R64-000900----------	S	W	R64	000900	1888	2023-08-24 09:10:00	111066		131480		3	2	11-9,11-8,1-11,7-11,11-3
2724	TTEWSINGLES-----------R64-000400----------	S	W	R64	000400	1843	2023-08-24 08:35:00	136808		113300		3	0	11-3,19-17,11-5
2724	TTEMSINGLES-----------R64-000500----------	S	M	R64	000500	1746	2023-08-24 14:00:00	114848		134693		3	1	9-11,11-9,11-7,11-5
2724	TTEWSINGLES-----------R64-002900----------	S	W	R64	002900	1692	2023-08-24 09:10:00	103752		121040		1	3	11-5,10-12,9-11,7-11
2724	TTEWSINGLES-----------R64-000700----------	S	W	R64	000700	2192	2023-08-24 10:20:00	122842		131086		2	3	11-7,9-11,12-10,6-11,4-11
2724	TTEMSINGLES-----------R64-001900----------	S	M	R64	001900	2188	2023-08-24 14:35:00	123976		106050		3	1	12-10,4-11,11-8,11-7
2724	TTEMSINGLES-----------R64-002400----------	S	M	R64	002400	1791	2023-08-24 15:45:00	109002		104379		1	3	2-11,11-7,7-11,7-11
2724	TTEMSINGLES-----------R64-002900----------	S	M	R64	002900	1676	2023-08-24 18:05:00	123300		113329		3	1	11-6,11-8,2-11,11-7
2724	TTEWSINGLES-----------R64-001600----------	S	W	R64	001600	1427	2023-08-24 11:30:00	121074		121714		3	0	11-8,11-9,11-9
2724	TTEWSINGLES-----------R64-001000----------	S	W	R64	001000	1199	2023-08-24 09:45:00	122348		112463		3	0	11-6,11-7,11-9
2724	TTEWSINGLES-----------R64-002800----------	S	W	R64	002800	1232	2023-08-24 12:05:00	114517		124165		0	3	5-11,10-12,9-11
2724	TTEWSINGLES-----------R64-002500----------	S	W	R64	002500	0	2023-08-24 10:20:00	132132		112356		3	0	11-4,11-7,11-1
2724	TTEWSINGLES-----------R64-003100----------	S	W	R64	003100	2137	2023-08-24 09:45:00	137850		119089		3	2	13-15,5-11,11-4,11-4,11-4
2724	TTEWSINGLES-----------R64-001900----------	S	W	R64	001900	1243	2023-08-24 09:45:00	113711		108843		3	1	11-4,11-8,8-11,11-4
2724	TTEWSINGLES-----------R64-003200----------	S	W	R64	003200	904	2023-08-24 11:30:00	134568		106706		0	3	7-11,4-11,7-11
2724	TTEMSINGLES-----------R64-002700----------	S	M	R64	002700	1627	2023-08-24 15:45:00	135924		132995		3	1	11-6,8-11,11-5,11-9
2724	TTEMSINGLES-----------R64-001100----------	S	M	R64	001100	1451	2023-08-24 14:35:00	134380		133827		3	0	11-5,14-12,11-9
2724	TTEWSINGLES-----------R64-002400----------	S	W	R64	002400	1970	2023-08-24 08:35:00	136574		115454		1	3	10-12,12-10,7-11,4-11
2724	TTEMSINGLES-----------R64-000100----------	S	M	R64	000100	1505	2023-08-24 14:00:00	112062		117002		3	0	11-7,11-8,11-8
2724	TTEWSINGLES-----------R64-000100----------	S	W	R64	000100	2891	2023-08-24 08:35:00	131335		116874		3	2	11-9,11-7,8-11,13-15,13-11
2724	TTEMSINGLES-----------R64-001300----------	S	M	R64	001300	787	2023-08-24 17:30:00	117345		204499		3	0	11-5,11-2,11-5
2724	TTEWSINGLES-----------R64-000300----------	S	W	R64	000300	1316	2023-08-24 11:30:00	119730		118507		3	0	11-7,11-3,11-3
2724	TTEMSINGLES-----------R64-000300----------	S	M	R64	000300	2254	2023-08-24 14:00:00	113931		135674		2	3	9-11,11-7,8-11,11-3,7-11
2724	TTEWSINGLES-----------R64-000200----------	S	W	R64	000200	2429	2023-08-24 08:35:00	118893		123535		2	3	11-9,11-13,9-11,11-8,7-11
2724	TTEMSINGLES-----------R64-001700----------	S	M	R64	001700	2684	2023-08-24 14:35:00	133713		118920		3	2	11-8,7-11,10-12,11-5,13-11
2724	TTEWSINGLES-----------R64-000500----------	S	W	R64	000500	1710	2023-08-24 11:30:00	124162		111416		3	1	5-11,11-7,12-10,12-10
2724	TTEWSINGLES-----------R64-002300----------	S	W	R64	002300	2447	2023-08-24 12:05:00	118777		135039		2	3	8-11,6-11,15-13,11-7,9-11
2724	TTEWSINGLES-----------R64-001100----------	S	W	R64	001100	2478	2023-08-24 11:30:00	124156		135923		2	3	7-11,11-8,6-11,11-9,10-12
2724	TTEMSINGLES-----------R64-000700----------	S	M	R64	000700	1742	2023-08-24 18:05:00	121869		120300		3	1	11-9,11-8,7-11,11-5
2724	TTEMSINGLES-----------R64-001600----------	S	M	R64	001600	2477	2023-08-24 15:10:00	121690		115396		2	3	5-11,12-14,13-11,11-9,4-11
2724	TTEMSINGLES-----------R64-001500----------	S	M	R64	001500	2042	2023-08-24 15:10:00	114718		135394		3	1	11-6,11-9,9-11,11-9
2724	TTEWSINGLES-----------R64-002700----------	S	W	R64	002700	1183	2023-08-24 09:45:00	115789		135179		0	3	6-11,4-11,5-11
2724	TTEMSINGLES-----------R64-003100----------	S	M	R64	003100	1326	2023-08-24 18:05:00	101648		136587		0	3	5-11,10-12,8-11
2724	TTEWSINGLES-----------R64-001500----------	S	W	R64	001500	2319	2023-08-24 09:45:00	116674		105779		2	3	5-11,11-8,9-11,12-10,7-11
2724	TTEMSINGLES-----------R64-002500----------	S	M	R64	002500	2564	2023-08-24 15:10:00	103345		121588		2	3	6-11,10-12,11-9,11-9,5-11
2724	TTEMSINGLES-----------R64-002800----------	S	M	R64	002800	2690	2023-08-24 15:45:00	131671		102968		3	2	8-11,13-11,6-11,11-5,12-10
2724	TTEMSINGLES-----------R64-001000----------	S	M	R64	001000	1447	2023-08-24 14:35:00	134239		134169		3	0	11-8,11-7,13-11
2724	TTEWSINGLES-----------R64-002100----------	S	W	R64	002100	2534	2023-08-24 12:05:00	131342		115413		3	2	11-4,11-2,12-14,8-11,11-6
2724	TTEWSINGLES-----------R64-001200----------	S	W	R64	001200	2486	2023-08-24 09:45:00	115402		111072		2	3	8-11,12-10,11-4,8-11,9-11
2724	TTEWSINGLES-----------R64-003000----------	S	W	R64	003000	2133	2023-08-24 09:10:00	123519		134338		3	2	4-11,11-9,11-8,12-14,11-6
2724	TTEWSINGLES-----------R64-001800----------	S	W	R64	001800	1386	2023-08-24 10:20:00	132756		122428		0	3	9-11,8-11,4-11
2724	TTEMSINGLES-----------R64-003200----------	S	M	R64	003200	2480	2023-08-24 14:00:00	131413		132824		1	3	10-12,3-11,14-12,9-11
2724	TTEMSINGLES-----------R64-001800----------	S	M	R64	001800	2641	2023-08-24 15:10:00	123192		123534		2	3	9-11,14-12,6-11,11-8,10-12
2724	TTEWSINGLES-----------R64-002200----------	S	W	R64	002200	2163	2023-08-24 12:15:00	119746		123575		3	1	13-11,11-5,7-11,11-4
2724	TTEMSINGLES-----------R64-002000----------	S	M	R64	002000	1789	2023-08-24 17:30:00	124572		102380		3	0	11-8,11-9,15-13
2724	TTEWSINGLES-----------R64-002600----------	S	W	R64	002600	1692	2023-08-24 09:10:00	123113		109777		3	1	11-6,9-11,11-5,11-5
2724	TTEWSINGLES-----------R64-001700----------	S	W	R64	001700	1222	2023-08-24 12:05:00	117463		100868		3	0	12-10,11-6,11-7
2724	TTEMSINGLES-----------R64-002100----------	S	M	R64	002100	2604	2023-08-24 15:45:00	133455		110726		2	3	10-12,6-11,11-9,11-9,7-11
2724	TTEMSINGLES-----------R64-003000----------	S	M	R64	003000	975	2023-08-24 14:00:00	131446		122320		0	3	3-11,7-11,2-11
2724	TTEWSINGLES-----------R64-000800----------	S	W	R64	000800	2358	2023-08-24 09:10:00	120294		105913		2	3	8-11,11-6,6-11,11-4,7-11
2724	TTEMSINGLES-----------R64-001200----------	S	M	R64	001200	2087	2023-08-24 15:10:00	119877		135050		3	1	11-8,7-11,11-9,12-10
2724	TTEMSINGLES-----------R64-002600----------	S	M	R64	002600	1217	2023-08-24 14:35:00	106814		113243		3	0	11-5,11-7,11-4
2724	TTEWSINGLES-----------R64-001400----------	S	W	R64	001400	1276	2023-08-24 10:20:00	117373		131581		3	0	11-3,11-8,12-10
2724	TTEWSINGLES-----------R64-000600----------	S	W	R64	000600	2534	2023-08-24 11:30:00	102949		116921		3	2	11-6,5-11,11-2,6-11,12-10
2724	TTEMSINGLES-----------R64-000200----------	S	M	R64	000200	1792	2023-08-24 14:35:00	114960		122002		0	3	9-11,7-11,9-11
2724	TTEMSINGLES-----------R64-000600----------	S	M	R64	000600	2680	2023-08-24 15:45:00	115449		120267		2	3	7-11,12-10,11-8,7-11,8-11
2724	TTEMSINGLES-----------R64-000400----------	S	M	R64	000400	2692	2023-08-24 14:00:00	121684		104036		1	3	11-6,12-14,7-11,9-11
2724	TTEMSINGLES-----------R64-002200----------	S	M	R64	002200	1215	2023-08-24 17:30:00	113395		121412		0	3	9-11,8-11,4-11
2724	TTEMSINGLES-----------R64-001400----------	S	M	R64	001400	2283	2023-08-24 15:45:00	135919		122095		3	1	7-11,11-9,14-12,11-8
2724	TTEMSINGLES-----------R64-002300----------	S	M	R64	002300	1793	2023-08-24 18:05:00	131912		122086		3	1	11-6,8-11,11-5,11-7
2724	TTEWSINGLES-----------RND3000300----------	S	W	RND3	000300	1349	2023-08-23 11:55:00	136574		132987		3	1	11-6,4-11,11-6,11-3
2724	TTEMSINGLES-----------RND3000700----------	S	M	RND3	000700	1591	2023-08-23 13:05:00	134380		123578		3	0	12-10,11-9,11-9
2724	TTEWSINGLES-----------RND3000800----------	S	W	RND3	000800	2018	2023-08-23 11:55:00	123519		134140		3	1	13-11,12-14,11-7,11-8
2724	TTEMSINGLES-----------RND3000600----------	S	M	RND3	000600	2199	2023-08-23 13:40:00	133899		131413		1	3	5-11,5-11,11-6,5-11
2724	TTEWSINGLES-----------RND3000400----------	S	W	RND3	000400	1984	2023-08-23 12:30:00	200095		118893		2	3	11-9,11-5,7-11,5-11,3-11
2724	TTEWSINGLES-----------RND3000500----------	S	W	RND3	000500	821	2023-08-23 11:55:00	136808		137734		3	0	11-8,11-0,11-0
2724	TTEWSINGLES-----------RND3000200----------	S	W	RND3	000200	853	2023-08-23 11:55:00	122842		124156		0	3	5-11,3-11,6-11
2724	TTEMSINGLES-----------RND3000800----------	S	M	RND3	000800	1317	2023-08-23 13:05:00	134227		117002		0	3	7-11,8-11,7-11
